"Code","Fullresp","Modality","Audio","Video","Resp","ProverbioCond","audPoA","vidPoA","McGurkCond","Correct","Subject","Group"
152,"DA","audio","D","P","D","audio","alveolar","labial","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
274,"WA","audiovisual","L","F","W","audiovisual incongruent","alveolar","labiodental","audiovisual incongruent",FALSE,"nm01 mcgurk1.zil","nonmusician"
228,"TA","audiovisual","P","K","T","audiovisual incongruent","labial","velar","audiovisual incongruent",FALSE,"nm01 mcgurk1.zil","nonmusician"
138,"MA","audio","M","K","M","audio","labial","velar","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
148,"FA","audio","F","K","F","audio","labiodental","velar","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
258,"DA","audiovisual","D","K","D","audiovisual incongruent","alveolar","velar","audiovisual incongruent",TRUE,"nm01 mcgurk1.zil","nonmusician"
213,"BA","audiovisual","B","M","B","audiovisual incongruent","labial","labial","audiovisual congruent",TRUE,"nm01 mcgurk1.zil","nonmusician"
276,"LA","audiovisual","L","T","L","audiovisual incongruent","alveolar","alveolar","audiovisual congruent",TRUE,"nm01 mcgurk1.zil","nonmusician"
251,"BA","audiovisual","D","B","B","audiovisual incongruent","alveolar","labial","audiovisual incongruent",FALSE,"nm01 mcgurk1.zil","nonmusician"
265,"TA","audiovisual","T","D","T","audiovisual incongruent","alveolar","alveolar","audiovisual congruent",TRUE,"nm01 mcgurk1.zil","nonmusician"
215,"DA","audiovisual","B","D","D","audiovisual incongruent","labial","alveolar","audiovisual incongruent",FALSE,"nm01 mcgurk1.zil","nonmusician"
121,"TA","audio","P","B","T","audio","labial","labial","audio",FALSE,"nm01 mcgurk1.zil","nonmusician"
142,"FA","audio","F","P","F","audio","labiodental","labial","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
253,"BA","audiovisual","D","M","B","audiovisual incongruent","alveolar","labial","audiovisual incongruent",FALSE,"nm01 mcgurk1.zil","nonmusician"
